date,shards-total,shards-successful,shards-failed,total-store,chunks-latest,chunks,coordinates-latest,coordinates,meta
2019-02-17T11:35:25.981Z,50,25,0,252840164,1687516,91316714,257099,159572022,6813
2019-02-17T11:40:26.161Z,50,25,0,242121175,1536464,76896512,263456,163417930,6813
2019-02-17T11:45:26.488Z,50,25,0,256534592,1519572,89534031,264013,165210163,6813
2019-02-17T11:50:26.113Z,50,25,0,240444415,1539081,77443683,270799,161184039,6813
2019-02-17T11:55:26.072Z,50,25,0,247675894,1997434,92605771,257101,152808775,6813
2019-02-17T12:00:26.081Z,50,25,0,233266183,1472947,77956851,257102,153572470,6813
2019-02-17T12:05:26.048Z,50,25,0,233802916,1519352,78252842,257101,153766808,6813
2019-02-17T12:10:26.146Z,50,25,0,248165274,1543248,91976076,257095,154382042,6813
2019-02-17T12:15:26.072Z,50,25,0,235432046,1469433,78752029,257101,154946670,6813
2019-02-17T12:20:26.134Z,50,25,0,236446001,1634746,79021406,257095,155525941,6813
2019-02-17T12:25:26.051Z,50,25,0,237094487,1473459,79358808,257099,155998308,6813
2019-02-17T12:30:26.123Z,50,25,0,237933247,1453383,79659154,257099,156556798,6813
2019-02-17T12:35:26.003Z,50,25,0,281760902,1513573,121700717,257098,158282701,6813
2019-02-17T12:40:25.986Z,50,25,0,241502220,1502399,80213002,268984,159511022,6813
2019-02-17T12:45:25.991Z,50,25,0,287147181,1589308,124008607,266159,161276294,6813
2019-02-17T12:50:25.992Z,50,25,0,275205520,1757515,111738175,268126,161434891,6813
2019-02-17T12:55:26.109Z,50,25,0,282723874,1706351,120555351,257101,160198258,6813
2019-02-17T13:00:26.132Z,50,25,0,261138662,1751647,96955484,257103,162167615,6813
2019-02-17T13:05:26.137Z,50,25,0,244168326,1569952,81600081,257101,160734379,6813
2019-02-17T13:10:26.246Z,50,25,0,246980530,1519910,81895534,262609,163295664,6813
2019-02-17T13:15:26.179Z,50,25,0,247228735,1514387,82117947,257093,163332495,6813
2019-02-17T13:20:26.160Z,50,25,0,249857121,1469372,82345662,262603,165772671,6813
2019-02-17T13:25:26.281Z,50,25,0,290269094,1705188,125782311,257091,162517691,6813
2019-02-17T13:30:26.171Z,50,25,0,251082315,1590307,82915176,263455,166306564,6813
2019-02-17T13:35:26.177Z,50,25,0,253131213,1518259,83214800,268116,168123225,6813
2019-02-17T13:40:26.165Z,50,25,0,255658072,1533293,83443652,274952,170399362,6813
2019-02-17T13:45:26.100Z,50,25,0,250175521,1489303,83743118,257106,164679181,6813
2019-02-17T13:50:26.076Z,50,25,0,258860181,1534467,84062348,257106,172999447,6813
2019-02-17T13:55:26.202Z,50,25,0,292585785,1597793,116745149,257105,173978925,6813
2019-02-17T14:00:26.079Z,50,25,0,271215324,1505701,100837848,263005,168601957,6813
2019-02-17T14:05:26.198Z,50,25,0,259345966,1508882,84867927,257099,172705245,6813
